C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
9.814900131,0.836299434,[16],0.436467619,894,8,0.187257444,0.248143713,0.308263473
4.864202597,0.158073057,"[64,64,64]",0.276233343,813,335,0.501872354,0.248143713,0.308263473
15.24886123,0.782086458,[64],0.493477631,814,255,0.139650024,0.248143713,0.308263473
11.17397619,0.42075095,"[64,64]",0.041474943,775,336,0.471875563,0.248143713,0.308263473
19.03693685,0.98563268,"[64,64,64]",0.056823075,772,52,0.388936559,0.248143713,0.308263473
18.49402952,0.892224332,[128],0.321286906,825,154,0.466222544,0.247125749,0.30748503
14.56997398,0.480762332,"[16,16,16]",0.229852747,889,19,0.224266183,0.249161677,0.309041916
15.07824128,0.488260583,[128],0.217569416,716,46,0.304384006,0.248143713,0.308263473
15.85635236,0.309293156,[32],0.417696456,895,417,0.341545193,0.248143713,0.308263473
15.65643678,0.610497107,"[32,32,32]",0.279258389,677,336,0.092397658,0.248143713,0.308263473
2.974705905,0.004752961,"[32,32,32]",0.127461772,979,318,0.139567843,0.248143713,0.308263473
8.861328008,0.871583684,[32],0.002582465,867,198,0.105296726,0.251137725,0.312095808
5.029889103,0.681584967,"[16,16]",0.119277613,972,499,0.533037935,0.248143713,0.308263473
6.480356665,0.796372649,"[32,32,32]",0.220859206,813,34,0.059239239,0.247125749,0.30748503
8.119798666,0.445988831,"[16,16]",0.347640804,988,331,0.244188634,0.248143713,0.308263473
9.300527847,0.580008099,[128],0.549274264,853,479,0.145879641,0.249161677,0.309041916
18.8613167,0.829154133,[128],0.070653032,767,304,0.285230656,0.248143713,0.308263473
21.09347718,0.270525872,[32],0.497201286,747,223,0.472860541,0.247125749,0.30748503
6.9192625,0.939434485,"[32,32]",0.389070391,899,444,0.26595746,0.247125749,0.30748503
20.99119617,0.920992412,[32],0.361709311,861,442,0.244922902,0.248143713,0.308263473
8.254649673,0.725777505,"[16,16]",0.424414778,911,485,0.479969554,0.248143713,0.308263473
19.56696043,0.015090245,[32],0.448521152,777,472,0.06692264,0.250778443,0.313532934
8.378252303,0.792497321,"[64,64]",0.553848014,888,426,0.283182031,0.248143713,0.308263473
16.03678118,0.759829754,[16],0.487939931,819,224,0.076084217,0.248203593,0.308742515
